onset	duration	trial_type	value	trigger_source
2.0	0.0	{'trial_type': 'rest_open', 'hed': 'Sensory-event, (Eyes, Open), Rest'}	1	software
5.0	0.0	{'trial_type': 'rest_closed', 'hed': 'Sensory-event, (Eyes, Closed), Rest'}	2	software
8.0	0.0	{'trial_type': 'rest_open', 'hed': 'Sensory-event, (Eyes, Open), Rest'}	1	software
11.0	0.0	{'trial_type': 'rest_closed', 'hed': 'Sensory-event, (Eyes, Closed), Rest'}	2	software
14.0	0.0	{'trial_type': 'rest_open', 'hed': 'Sensory-event, (Eyes, Open), Rest'}	1	software
17.0	0.0	{'trial_type': 'rest_closed', 'hed': 'Sensory-event, (Eyes, Closed), Rest'}	2	software
20.0	0.0	{'trial_type': 'rest_open', 'hed': 'Sensory-event, (Eyes, Open), Rest'}	1	software
23.0	0.0	{'trial_type': 'rest_closed', 'hed': 'Sensory-event, (Eyes, Closed), Rest'}	2	software
26.0	0.0	{'trial_type': 'rest_open', 'hed': 'Sensory-event, (Eyes, Open), Rest'}	1	software
29.0	0.0	{'trial_type': 'rest_closed', 'hed': 'Sensory-event, (Eyes, Closed), Rest'}	2	software
32.0	0.0	{'trial_type': 'rest_open', 'hed': 'Sensory-event, (Eyes, Open), Rest'}	1	software
35.0	0.0	{'trial_type': 'rest_closed', 'hed': 'Sensory-event, (Eyes, Closed), Rest'}	2	software
38.0	0.0	{'trial_type': 'rest_open', 'hed': 'Sensory-event, (Eyes, Open), Rest'}	1	software
41.0	0.0	{'trial_type': 'rest_closed', 'hed': 'Sensory-event, (Eyes, Closed), Rest'}	2	software
44.0	0.0	{'trial_type': 'rest_open', 'hed': 'Sensory-event, (Eyes, Open), Rest'}	1	software
47.0	0.0	{'trial_type': 'rest_closed', 'hed': 'Sensory-event, (Eyes, Closed), Rest'}	2	software
50.0	0.0	{'trial_type': 'rest_open', 'hed': 'Sensory-event, (Eyes, Open), Rest'}	1	software
53.0	0.0	{'trial_type': 'rest_closed', 'hed': 'Sensory-event, (Eyes, Closed), Rest'}	2	software
56.0	0.0	{'trial_type': 'rest_open', 'hed': 'Sensory-event, (Eyes, Open), Rest'}	1	software
59.0	0.0	{'trial_type': 'rest_closed', 'hed': 'Sensory-event, (Eyes, Closed), Rest'}	2	software
