onset	duration	trial_type	value	trigger_source
2.0	0.0	unknown_stimulus_6hz	stimulus_6hz	software
5.0	0.0	unknown_stimulus_8hz	stimulus_8hz	software
8.0	0.0	unknown_stimulus_6hz	stimulus_6hz	software
11.0	0.0	unknown_stimulus_8hz	stimulus_8hz	software
14.0	0.0	unknown_stimulus_6hz	stimulus_6hz	software
17.0	0.0	unknown_stimulus_8hz	stimulus_8hz	software
20.0	0.0	unknown_stimulus_6hz	stimulus_6hz	software
23.0	0.0	unknown_stimulus_8hz	stimulus_8hz	software
26.0	0.0	unknown_stimulus_6hz	stimulus_6hz	software
29.0	0.0	unknown_stimulus_8hz	stimulus_8hz	software
32.0	0.0	unknown_stimulus_6hz	stimulus_6hz	software
35.0	0.0	unknown_stimulus_8hz	stimulus_8hz	software
38.0	0.0	unknown_stimulus_6hz	stimulus_6hz	software
41.0	0.0	unknown_stimulus_8hz	stimulus_8hz	software
44.0	0.0	unknown_stimulus_6hz	stimulus_6hz	software
47.0	0.0	unknown_stimulus_8hz	stimulus_8hz	software
50.0	0.0	unknown_stimulus_6hz	stimulus_6hz	software
53.0	0.0	unknown_stimulus_8hz	stimulus_8hz	software
56.0	0.0	unknown_stimulus_6hz	stimulus_6hz	software
59.0	0.0	unknown_stimulus_8hz	stimulus_8hz	software
